loggernet_variable,cr1000_name,var_type,research_name,definition,units,link,logger,var_role,table
NDVI_I(2),ndvi_i2,plot,ndvi_nir,Alias NDVI(2)= downOut(2) = NIR-910 near infared,W/m^2 nm sr,132,pioneer,plot,
NDVI_I(3),ndvi_i3,plot,ndvi_orientation,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,',132,pioneer,plot,
NDVI_J(1),ndvi_j1,site,ndvi_red_sky,Alias NDVI(1)= upOut(1) = Red-650nm,W/m^2 nm,pioneer,pioneer,logger,
NDVI_J(2),ndvi_j2,site,ndvi_nir_sky,Alias NDVI(2)= upOut(2) = NIR-910 near infared,W/m^2 nm,pioneer,pioneer,logger,
NDVI_J(3),ndvi_j3,site,ndvi_orientation_sky,Alias NDVI(3) = sensor orientation index 1 = downlooking 2= downward 0=undetermined,,pioneer,pioneer,logger,
Logger,logger,site,logger,logger name,,pioneer,pioneer,key,
Program,program,site,program,program version ,,pioneer,pioneer,logger,
Table,table,site,table,table version,,pioneer,pioneer,logger,
PRI(1),pri1,treatment,pri_amb,unknown,,pioneer,pioneer,logger,
PRI(2),pri2,treatment,pri_1.5,unknown,,pioneer,pioneer,logger,
PRI(3),pri3,treatment,pri_3,unknown,,pioneer,pioneer,logger,
STATNAME,statname,site,statname,internal data logger name,,pioneer,pioneer,logger,
Level_cm_Max,level_cm_max,site,level_cm_max,cs456 level maximium,cm,pioneer,pioneer,logger,
Level_cm_Avg,level_cm_avg,site,level_cm_avg,cs456 level average,cm,pioneer,pioneer,logger,
Level_cm_Min,level_cm_min,site,level_cm_min,cs456 level minimum,cm,pioneer,pioneer,logger,
CS456_Temp_C_1_Max,cs456_temp_c_1_max,site,cs456_temp_c_1_max,cs456 level temperature,celcius,pioneer,pioneer,logger,
SlrW_Avg,slrw_avg,site,slrw_avg,pyranometer average,W/m2,pioneer,pioneer,logger,
SlrMJ_Tot,slrmj_tot,site,slrmj_tot,pyranometer totalize, MJ/m2 ,pioneer,pioneer,logger,
PAR_Den_Avg,par_den_avg,site,par_den_avg,par density, PAR_Den= PAR_Den* PAR2,pioneer,pioneer,logger,
PAR_Tot_Tot,par_tot_tot,site,par_tot_tot,par totalized,PAR_Tot= PAR_Den* PAR1,pioneer,pioneer,logger,
GillAirtemp_Avg,gillairtemp_avg,site,gillairtemp_avg,air temperature celcius,celcius,pioneer,pioneer,logger,
RH_Avg,rh_avg,site,rh_avg,hmp110 relative humidity,%,pioneer,pioneer,logger,
VP_Avg,vp_avg,site,vp_avg,hmp110 vapor pressure,,pioneer,pioneer,logger,
VPD_Avg,vpd_avg,site,vpd_avg,VPD = (1 - (RH/100))*SVP ' Vapor Pressure Deficit,,pioneer,pioneer,logger,
SVP_Avg,svp_avg,site,svp_avg, SVP = (610.7*(107.5*GillAirtemp)/(237.3 + GillAirtemp))/1000 ' Saturate Vapor Pressure,,pioneer,pioneer,logger,
Wind_Speed_Avg,wind_speed_avg,site,wind_speed_avg,wind_speed_avg,m/s,pioneer,pioneer,logger,
Wind_Speed_Max,wind_speed_max,site,wind_speed_max,wind_speed_max,m/s,pioneer,pioneer,logger,
Wind_Speed_Min,wind_speed_min,site,wind_speed_min,wind_speed_min,m/s,pioneer,pioneer,logger,
Wind_Direction_Avg,wind_direction_avg,site,wind_direction_avg,wind_direction_avg,degrees,pioneer,pioneer,logger,
Wind_message,wind_message,site,wind_message,wind_message,,pioneer,pioneer,logger,
batt_volt,batt_volt,site,batt_volt,logger battery voltage,volts,pioneer,pioneer,logger,
Flag(1),flag1,site,flag1, Flag(1) = FALSE all off and will change all flags to 0 = total shutoff,,pioneer,pioneer,logger,
Flag(2),flag2,site,flag2,    ' Flag(2) = pin(deep)functioning,,pioneer,pioneer,logger,
Flag(3),flag3,site,flag3,    ' Flag(3) = surface functioning,,pioneer,pioneer,logger,
Flag(4),flag4,site,flag4,    ' Flag(4) = ARDUINO VARIABLE SEND,,pioneer,pioneer,logger,
Flag(5),flag5,site,flag5, Flag(5) = Suspend System Flag (for high water or high winds),,pioneer,pioneer,logger,
Flag(6),flag6,site,flag6,    ' Flag(6) = Primer for start,,pioneer,pioneer,logger,
Flag(7),flag7,site,flag7,    ' Flag(7) =  Flex control,,pioneer,pioneer,logger,
Flag(8),flag8,site,flag8,    ' Flag(8) =,,pioneer,pioneer,logger,
Flag(9),flag9,site,flag9,    ' Flag(9)=,,pioneer,pioneer,logger,
Flag(10),flag10,site,flag10,    ' Flag(10)- Met table flag,,pioneer,pioneer,logger,
Temp_Pin(1),temp_pin1,treatment,temp_pin_amb,spatial average of pins in each zone,celcius,pioneer,pioneer,logger,
Temp_Pin(2),temp_pin2,treatment,temp_pin_1.5,spatial average of pins in each zone,celcius,pioneer,pioneer,logger,
Temp_Pin(3),temp_pin3,treatment,temp_pin_3,spatial average of pins in each zone,celcius,pioneer,pioneer,logger,
Temp_Lag(1),temp_lag1,treatment,temp_lag_amb,spatial average of lags in each zone,celcius,pioneer,pioneer,logger,
Temp_Lag(2),temp_lag2,treatment,temp_lag_1.5,spatial average of lags in each zone,celcius,pioneer,pioneer,logger,
Temp_Lag(3),temp_lag3,treatment,temp_lag_3,spatial average of lags in each zone,celcius,pioneer,pioneer,logger,
Temp_Surface(1),temp_surface1,treatment,temp_surface_amb,spatial average of surface in each zone,celcius,pioneer,pioneer,logger,
Temp_Surface(2),temp_surface2,treatment,temp_surface_1.5,spatial average of surface in each zone,celcius,pioneer,pioneer,logger,
Temp_Surface(3),temp_surface3,treatment,temp_surface_3,spatial average of surface in each zone,celcius,pioneer,pioneer,logger,
Temp_Deep(1),temp_deep1,treatment,temp_deep_amb,spatial average of deep in each zone,celcius,pioneer,pioneer,logger,
Temp_Deep(2),temp_deep2,treatment,temp_deep_1.5,spatial average of deep in each zone,celcius,pioneer,pioneer,logger,
Temp_Deep(3),temp_deep3,treatment,temp_deep_3,spatial average of deep in each zone,celcius,pioneer,pioneer,logger,
Temp_Above(1),temp_above1,treatment,temp_above_amb,spatial average of above in each zone,celcius,pioneer,pioneer,logger,
Temp_Above(2),temp_above2,treatment,temp_above_1.5,spatial average of above in each zone,celcius,pioneer,pioneer,logger,
Temp_Above(3),temp_above3,treatment,temp_above_3,spatial average of above in each zone,celcius,pioneer,pioneer,logger,
Temp_Air(1),temp_air1,treatment,temp_air_amb,spaital average of air in each zone,celcius,pioneer,pioneer,logger,
Temp_Air(2),temp_air2,treatment,temp_air_1.5,spaital average of air in each zone,celcius,pioneer,pioneer,logger,
Temp_Air(3),temp_air3,treatment,temp_air_3,spaital average of air in each zone,celcius,pioneer,pioneer,logger,
Delta_Temp_Pin(1),delta_temp_pin1,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,110,pioneer,plot,
Delta_Temp_Pin(2),delta_temp_pin2,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,120,pioneer,plot,
Delta_Temp_Pin(3),delta_temp_pin3,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,130,pioneer,plot,
Delta_Temp_Pin(4),delta_temp_pin4,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,111,pioneer,plot,
Delta_Temp_Pin(5),delta_temp_pin5,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,121,pioneer,plot,
Delta_Temp_Pin(6),delta_temp_pin6,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,131,pioneer,plot,
Delta_Temp_Pin(7),delta_temp_pin7,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,112,pioneer,plot,
Delta_Temp_Pin(8),delta_temp_pin8,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,122,pioneer,plot,
Delta_Temp_Pin(9),delta_temp_pin9,plot,delta_temp_pin,delta= heated -ambient difference_pin,celcius,132,pioneer,plot,
Delta_Temp_Lag(1),delta_temp_lag1,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,110,pioneer,plot,
Delta_Temp_Lag(2),delta_temp_lag2,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,120,pioneer,plot,
Delta_Temp_Lag(3),delta_temp_lag3,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,130,pioneer,plot,
Delta_Temp_Lag(4),delta_temp_lag4,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,111,pioneer,plot,
Delta_Temp_Lag(5),delta_temp_lag5,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,121,pioneer,plot,
Delta_Temp_Lag(6),delta_temp_lag6,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,131,pioneer,plot,
Delta_Temp_Lag(7),delta_temp_lag7,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,112,pioneer,plot,
Delta_Temp_Lag(8),delta_temp_lag8,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,122,pioneer,plot,
Delta_Temp_Lag(9),delta_temp_lag9,plot,delta_temp_lag,delta= heated -ambient difference_lag,celcius,132,pioneer,plot,
Delta_Temp_Surface(1),delta_temp_surface1,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,110,pioneer,plot,
Delta_Temp_Surface(2),delta_temp_surface2,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,120,pioneer,plot,
Delta_Temp_Surface(3),delta_temp_surface3,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,130,pioneer,plot,
Delta_Temp_Surface(4),delta_temp_surface4,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,111,pioneer,plot,
Delta_Temp_Surface(5),delta_temp_surface5,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,121,pioneer,plot,
Delta_Temp_Surface(6),delta_temp_surface6,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,131,pioneer,plot,
Delta_Temp_Surface(7),delta_temp_surface7,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,112,pioneer,plot,
Delta_Temp_Surface(8),delta_temp_surface8,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,122,pioneer,plot,
Delta_Temp_Surface(9),delta_temp_surface9,plot,delta_temp_surface,delta= heated -ambient difference_surface,celcius,132,pioneer,plot,
Delta_Temp_Deep(1),delta_temp_deep1,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,110,pioneer,plot,
Delta_Temp_Deep(2),delta_temp_deep2,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,120,pioneer,plot,
Delta_Temp_Deep(3),delta_temp_deep3,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,130,pioneer,plot,
Delta_Temp_Deep(4),delta_temp_deep4,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,111,pioneer,plot,
Delta_Temp_Deep(5),delta_temp_deep5,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,121,pioneer,plot,
Delta_Temp_Deep(6),delta_temp_deep6,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,131,pioneer,plot,
Delta_Temp_Deep(7),delta_temp_deep7,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,112,pioneer,plot,
Delta_Temp_Deep(8),delta_temp_deep8,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,122,pioneer,plot,
Delta_Temp_Deep(9),delta_temp_deep9,plot,delta_temp_deep,delta= heated -ambient difference_deep,celcius,132,pioneer,plot,
Delta_Temp_Above(1),delta_temp_above1,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,110,pioneer,plot,
Delta_Temp_Above(2),delta_temp_above2,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,120,pioneer,plot,
Delta_Temp_Above(3),delta_temp_above3,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,130,pioneer,plot,
Delta_Temp_Above(4),delta_temp_above4,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,111,pioneer,plot,
Delta_Temp_Above(5),delta_temp_above5,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,121,pioneer,plot,
Delta_Temp_Above(6),delta_temp_above6,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,131,pioneer,plot,
Delta_Temp_Above(7),delta_temp_above7,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,112,pioneer,plot,
Delta_Temp_Above(8),delta_temp_above8,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,122,pioneer,plot,
Delta_Temp_Above(9),delta_temp_above9,plot,delta_temp_above,delta= heated -ambient difference_above,celcius,132,pioneer,plot,
Delta_Temp_Air(1),delta_temp_air1,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,110,pioneer,plot,
Delta_Temp_Air(2),delta_temp_air2,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,120,pioneer,plot,
Delta_Temp_Air(3),delta_temp_air3,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,130,pioneer,plot,
Delta_Temp_Air(4),delta_temp_air4,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,111,pioneer,plot,
Delta_Temp_Air(5),delta_temp_air5,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,121,pioneer,plot,
Delta_Temp_Air(6),delta_temp_air6,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,131,pioneer,plot,
Delta_Temp_Air(7),delta_temp_air7,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,112,pioneer,plot,
Delta_Temp_Air(8),delta_temp_air8,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,122,pioneer,plot,
Delta_Temp_Air(9),delta_temp_air9,plot,delta_temp_air,delta= heated -ambient difference_air,celcius,132,pioneer,plot,
Pin(1),pin1,plot,pin,temperature of pin sensor at -20cm depth ,celcius,110,pioneer,plot,
Pin(2),pin2,plot,pin,temperature of pin sensor at -20cm depth ,celcius,120,pioneer,plot,
Pin(3),pin3,plot,pin,temperature of pin sensor at -20cm depth ,celcius,130,pioneer,plot,
Pin(4),pin4,plot,pin,temperature of pin sensor at -20cm depth ,celcius,111,pioneer,plot,
Pin(5),pin5,plot,pin,temperature of pin sensor at -20cm depth ,celcius,121,pioneer,plot,
Pin(6),pin6,plot,pin,temperature of pin sensor at -20cm depth ,celcius,131,pioneer,plot,
Pin(7),pin7,plot,pin,temperature of pin sensor at -20cm depth ,celcius,112,pioneer,plot,
Pin(8),pin8,plot,pin,temperature of pin sensor at -20cm depth ,celcius,122,pioneer,plot,
Pin(9),pin9,plot,pin,temperature of pin sensor at -20cm depth ,celcius,132,pioneer,plot,
Lag(1),lag1,plot,lag,temperature of lag sensor at -20cm depth ,celcius,110,pioneer,plot,
Lag(2),lag2,plot,lag,temperature of lag sensor at -20cm depth ,celcius,120,pioneer,plot,
Lag(3),lag3,plot,lag,temperature of lag sensor at -20cm depth ,celcius,130,pioneer,plot,
Lag(4),lag4,plot,lag,temperature of lag sensor at -20cm depth ,celcius,111,pioneer,plot,
Lag(5),lag5,plot,lag,temperature of lag sensor at -20cm depth ,celcius,121,pioneer,plot,
Lag(6),lag6,plot,lag,temperature of lag sensor at -20cm depth ,celcius,131,pioneer,plot,
Lag(7),lag7,plot,lag,temperature of lag sensor at -20cm depth ,celcius,112,pioneer,plot,
Lag(8),lag8,plot,lag,temperature of lag sensor at -20cm depth ,celcius,122,pioneer,plot,
Lag(9),lag9,plot,lag,temperature of lag sensor at -20cm depth ,celcius,132,pioneer,plot,
Surface(1),surface1,plot,surface,temperature of surface sensor at -5cm depth ,celcius,110,pioneer,plot,
Surface(2),surface2,plot,surface,temperature of surface sensor at -5cm depth ,celcius,120,pioneer,plot,
Surface(3),surface3,plot,surface,temperature of surface sensor at -5cm depth ,celcius,130,pioneer,plot,
Surface(4),surface4,plot,surface,temperature of surface sensor at -5cm depth ,celcius,111,pioneer,plot,
Surface(5),surface5,plot,surface,temperature of surface sensor at -5cm depth ,celcius,121,pioneer,plot,
Surface(6),surface6,plot,surface,temperature of surface sensor at -5cm depth ,celcius,131,pioneer,plot,
Surface(7),surface7,plot,surface,temperature of surface sensor at -5cm depth ,celcius,112,pioneer,plot,
Surface(8),surface8,plot,surface,temperature of surface sensor at -5cm depth ,celcius,122,pioneer,plot,
Surface(9),surface9,plot,surface,temperature of surface sensor at -5cm depth ,celcius,132,pioneer,plot,
Deep(1),deep1,plot,deep,temperature of deep sensor at -75cm depth ,celcius,110,pioneer,plot,
Deep(2),deep2,plot,deep,temperature of deep sensor at -75cm depth ,celcius,120,pioneer,plot,
Deep(3),deep3,plot,deep,temperature of deep sensor at -75cm depth ,celcius,130,pioneer,plot,
Deep(4),deep4,plot,deep,temperature of deep sensor at -75cm depth ,celcius,111,pioneer,plot,
Deep(5),deep5,plot,deep,temperature of deep sensor at -75cm depth ,celcius,121,pioneer,plot,
Deep(6),deep6,plot,deep,temperature of deep sensor at -75cm depth ,celcius,131,pioneer,plot,
Deep(7),deep7,plot,deep,temperature of deep sensor at -75cm depth ,celcius,112,pioneer,plot,
Deep(8),deep8,plot,deep,temperature of deep sensor at -75cm depth ,celcius,122,pioneer,plot,
Deep(9),deep9,plot,deep,temperature of deep sensor at -75cm depth ,celcius,132,pioneer,plot,
Above(1),above1,plot,above,temperature of above sensor at canopy height ,celcius,110,pioneer,plot,
Above(2),above2,plot,above,temperature of above sensor at canopy height ,celcius,120,pioneer,plot,
Above(3),above3,plot,above,temperature of above sensor at canopy height ,celcius,130,pioneer,plot,
Above(4),above4,plot,above,temperature of above sensor at canopy height ,celcius,111,pioneer,plot,
Above(5),above5,plot,above,temperature of above sensor at canopy height ,celcius,121,pioneer,plot,
Above(6),above6,plot,above,temperature of above sensor at canopy height ,celcius,131,pioneer,plot,
Above(7),above7,plot,above,temperature of above sensor at canopy height ,celcius,112,pioneer,plot,
Above(8),above8,plot,above,temperature of above sensor at canopy height ,celcius,122,pioneer,plot,
Above(9),above9,plot,above,temperature of above sensor at canopy height ,celcius,132,pioneer,plot,
Air(1),air1,plot,air,temperature of air sensor at 50cm height ,celcius,110,pioneer,plot,
Air(2),air2,plot,air,temperature of air sensor at 50cm height ,celcius,120,pioneer,plot,
Air(3),air3,plot,air,temperature of air sensor at 50cm height ,celcius,130,pioneer,plot,
Air(4),air4,plot,air,temperature of air sensor at 50cm height ,celcius,111,pioneer,plot,
Air(5),air5,plot,air,temperature of air sensor at 50cm height ,celcius,121,pioneer,plot,
Air(6),air6,plot,air,temperature of air sensor at 50cm height ,celcius,131,pioneer,plot,
Air(7),air7,plot,air,temperature of air sensor at 50cm height ,celcius,112,pioneer,plot,
Air(8),air8,plot,air,temperature of air sensor at 50cm height ,celcius,122,pioneer,plot,
Air(9),air9,plot,air,temperature of air sensor at 50cm height ,celcius,132,pioneer,plot,
PinR(1),pinr1,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,110,pioneer,plot,
PinR(2),pinr2,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,120,pioneer,plot,
PinR(3),pinr3,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,130,pioneer,plot,
PinR(4),pinr4,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,111,pioneer,plot,
PinR(5),pinr5,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,121,pioneer,plot,
PinR(6),pinr6,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,131,pioneer,plot,
PinR(7),pinr7,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,112,pioneer,plot,
PinR(8),pinr8,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,122,pioneer,plot,
PinR(9),pinr9,plot,pinr,3 minute running average of pin sensor at -20cm depth ,celcius,132,pioneer,plot,
LagR(1),lagr1,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,110,pioneer,plot,
LagR(2),lagr2,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,120,pioneer,plot,
LagR(3),lagr3,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,130,pioneer,plot,
LagR(4),lagr4,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,111,pioneer,plot,
LagR(5),lagr5,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,121,pioneer,plot,
LagR(6),lagr6,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,131,pioneer,plot,
LagR(7),lagr7,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,112,pioneer,plot,
LagR(8),lagr8,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,122,pioneer,plot,
LagR(9),lagr9,plot,lagr,3 minute running average of lag sensor at -20cm depth ,celcius,132,pioneer,plot,
SurfaceR(1),surfacer1,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,110,pioneer,plot,
SurfaceR(2),surfacer2,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,120,pioneer,plot,
SurfaceR(3),surfacer3,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,130,pioneer,plot,
SurfaceR(4),surfacer4,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,111,pioneer,plot,
SurfaceR(5),surfacer5,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,121,pioneer,plot,
SurfaceR(6),surfacer6,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,131,pioneer,plot,
SurfaceR(7),surfacer7,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,112,pioneer,plot,
SurfaceR(8),surfacer8,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,122,pioneer,plot,
SurfaceR(9),surfacer9,plot,surfacer,3 minute running average of surface sensor at -5cm depth ,celcius,132,pioneer,plot,
DeepR(1),deepr1,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,110,pioneer,plot,
DeepR(2),deepr2,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,120,pioneer,plot,
DeepR(3),deepr3,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,130,pioneer,plot,
DeepR(4),deepr4,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,111,pioneer,plot,
DeepR(5),deepr5,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,121,pioneer,plot,
DeepR(6),deepr6,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,131,pioneer,plot,
DeepR(7),deepr7,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,112,pioneer,plot,
DeepR(8),deepr8,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,122,pioneer,plot,
DeepR(9),deepr9,plot,deepr,3 minute running average of deep sensor at -75cm depth ,celcius,132,pioneer,plot,
